AUD,TWD,22.0,16,8,2022,13,44,29
AUD,TWD,20.0,16,8,2022,13,44,29
AUD,TWD,18.0,16,8,2022,13,44,29
AUD,TWD,22.0,16,8,2022,13,45,58
AUD,TWD,20.0,16,8,2022,13,45,58
AUD,TWD,18.0,16,8,2022,13,45,58
AUD,TWD,22.0,16,8,2022,14,22,13
AUD,TWD,20.0,16,8,2022,14,22,13
AUD,TWD,18.0,16,8,2022,14,22,13
AUD,TWD,22.0,16,8,2022,14,24,25
AUD,TWD,20.0,16,8,2022,14,24,25
AUD,TWD,18.0,16,8,2022,14,24,25
AUD,TWD,22.0,16,8,2022,14,24,32
AUD,TWD,20.0,16,8,2022,14,24,32
AUD,TWD,18.0,16,8,2022,14,24,32
AUD,TWD,22.0,16,8,2022,14,51,38
AUD,TWD,20.0,16,8,2022,14,51,38
AUD,TWD,18.0,16,8,2022,14,51,38
AUD,TWD,22.0,16,8,2022,14,52,7
AUD,TWD,20.0,16,8,2022,14,52,7
AUD,TWD,18.0,16,8,2022,14,52,7
AUD,TWD,22.0,16,8,2022,15,6,43
AUD,TWD,20.0,16,8,2022,15,6,43
AUD,TWD,18.0,16,8,2022,15,6,43
AUD,TWD,22.0,16,8,2022,15,7,1
AUD,TWD,20.0,16,8,2022,15,7,1
AUD,TWD,18.0,16,8,2022,15,7,1
AUD,TWD,22.0,16,8,2022,15,9,22
AUD,TWD,20.0,16,8,2022,15,9,22
AUD,TWD,18.0,16,8,2022,15,9,22
